DisNo.,Country,Location,Year,Disaster_type,Subtype,Deaths,Total_affected,Total_damage_000usd,City,Damage_million_usd,Decade
2015-0448-NGA,Nigeria,"Kano, Katsina, Sokoto, Kebbi, Zamfara, Kaduna, Jigawa, Adamawa, Yobe, Gombe, Bauchi, Anambra, Benue, Delta, Niger, Ondo, Taraba provinces",2015,Flood,Riverine flood,53.0,100420.0,25000.0,Lagos,25.0,2010
2016-0305-ZAF,South Africa,"Western Cape (Cape Town, Phillipi, Khayelitsha), Kwazulu Natal (Durban, Cato Manor, Amanzimtoti, Inanda, Ntuzuma, KwaMashu, uMlazi, Yellow Wood Park, Chatsworth -eThekwini Metropolitan Municipality, Ugu district)",2016,Flood,Flood (General),7.0,6900.0,180000.0,Durban,180.0,2010
2016-0478-ZAF,South Africa,"Gauteng, KwaZulu Natal provinces",2016,Flood,Flash flood,6.0,600.0,100000.0,Durban,100.0,2010
2019-0106-ZAF,South Africa,"Ntuzuma,Verusalam, Inanda and KwaMashu towns (north of Durban city, KwaZulu-Natal Province)",2019,Flood,Flood (General),10.0,0.0,,Durban,0.0,2010
2021-0589-NGA,Nigeria,"Trademoore, Light Gold, Wisdom Estates and Lugbe (Abuja)",2021,Flood,Flash flood,4.0,830.0,,Lagos,0.0,2020
2022-0077-ZAF,South Africa,Gauteng Province; KwaZulu-Natal,2022,Flood,Flood (General),3.0,138.0,,Durban,0.0,2020
2022-0205-ZAF,South Africa,"uMkhanyakude, uThukela, uMzinyathi, UMgungundlovu, Zululand, EThekwini, Ilembe, Harry Gwala, King Cetshwayo, UGu,Amajuba municipalities Umlazi Town (Durban, KwaZulu-Natal Province)",2022,Flood,Flood (General),544.0,142290.0,3500000.0,Durban,3500.0,2020
2022-0108-ZAF,South Africa,Gauteng Province,2022,Flood,Flood (General),4.0,187.0,,Durban,0.0,2020
2022-0356-ZAF,South Africa,"Kleinvlei, Ravensmead, Goodwood, Strand, Bonteheuwel, Belhar, Maitland and Bellville South.(Cape Town)",2022,Flood,Flood (General),0.0,204.0,,Durban,0.0,2020
2023-0180-ZAF,South Africa,"Ingquza Hill, King Sabata Dalindyebo and Port St Johns (Easter Cape Province)",2023,Flood,Flood (General),3.0,500.0,,Durban,0.0,2020
2023-0691-NGA,Nigeria,"Fufore, Demsa, Shelleng (Adamawa State)",2023,Flood,Flood (General),275.0,30000.0,,Lagos,0.0,2020
2024-0015-ZAF,South Africa,"eThekwini Metro, KwaDukuza, and Ndwedwe Local Municipality (KwaZulu-Natal); Durban",2024,Flood,Flash flood,13.0,756.0,10000.0,Durban,10.0,2020
2024-0783-ZAF,South Africa,Eastern Cape province,2024,Flood,Flood (General),10.0,3090.0,,Durban,0.0,2020
1985-0015-NGA,Nigeria,Central,1985,Flood,Riverine flood,0.0,6000.0,8000.0,Lagos,8.0,1980
1978-0017-ZAF,South Africa,Transvaal,1978,Flood,Flood (General),26.0,0.0,,Durban,0.0,1970
1987-0166-ZAF,South Africa,"Natal, Kwazulu",1987,Flood,Riverine flood,506.0,65000.0,765305.0,Durban,765.305,1980
1988-0074-ZAF,South Africa,Cape province,1988,Flood,Riverine flood,25.0,0.0,,Durban,0.0,1980
1988-0334-NGA,Nigeria,"Kano, Borno, Oyo states",1988,Flood,Riverine flood,130.0,300000.0,,Lagos,0.0,1980
1999-0593-ZAF,South Africa,Durban city (KwaZulu Natal Province),1999,Flood,Riverine flood,23.0,2000.0,6300.0,Durban,6.3,1990
2000-0043-ZAF,South Africa,"Mpumalanga, KwaZulu-Natal, Gauteng provinces",2000,Flood,Riverine flood,83.0,200.0,160000.0,Durban,160.0,2000
2001-0408-NGA,Nigeria,Talata-Marafa district (Zamfara province),2001,Flood,Riverine flood,0.0,3852.0,,Lagos,0.0,2000
2001-0481-ZAF,South Africa,City of Cape Town district (Western Cape province),2001,Flood,Flood (General),0.0,42356.0,,Durban,0.0,2000
2001-0494-NGA,Nigeria,"Jigawa, Kano provinces",2001,Flood,Flash flood,200.0,84065.0,3000.0,Lagos,3.0,2000
2001-0664-ZAF,South Africa,"Greater Tubatse area (Sekhukhune district, Limpopo province), Thembisile area (Nkangala district, Mpumalanga province), Ingwavuma, Ubombo, Jozini towns (Jozini area, Umkhanyakude district, KwaZulu-Natal province)",2001,Flood,Flash flood,5.0,312.0,,Durban,0.0,2000
2004-0398-ZAF,South Africa,City of Cape Town district (Western Cape province),2004,Flood,Riverine flood,0.0,15000.0,,Durban,0.0,2000
2004-0413-NGA,Nigeria,Adamawa province,2004,Flood,Flash flood,65.0,10600.0,,Lagos,0.0,2000
